241007-14:40:21.449938 <I>  wifi_hal_pre_init:300: platfrom pre init
241007-14:40:21.451733 <I>  wifi_hal_init:204: start
241007-14:40:21.532020 <E>  nl80211_init_primary_interfaces:4543: Skip the Radio 1 .This is sleeping in ECO mode 
241007-14:40:21.539137 <E>  nl80211_init_radio_info:4586: Skip the Radio 1 .This is sleeping in ECO mode 
241007-14:40:21.559436 <E>  wifi_hal_init:259: Skip the Radio 1 .This is sleeping in ECO mode 
241007-14:40:21.625195 <I>  wifi_hal_init:289: HOSTAP_VERSION: 210
241007-14:40:21.625418 <I>  wifi_hal_init:291: done
241007-14:40:21.699621 <I>  wifi_hal_getHalCapability:127:Enumerating interfaces on PHY radio index: 0, RDK radio index:0
241007-14:40:21.699890 <I>  wifi_hal_getHalCapability:151: interface name: wlan0, vap index: 0, vap name: private_ssid_2g
241007-14:40:21.700076 <I>  wifi_hal_getHalCapability:127:Enumerating interfaces on PHY radio index: 1, RDK radio index:1
241007-14:40:21.700225 <I>  wifi_hal_getHalCapability:151: interface name: wlan15, vap index: 15, vap name: mesh_sta_5g
241007-14:40:21.700367 <I>  wifi_hal_getHalCapability:151: interface name: wlan13, vap index: 13, vap name: mesh_backhaul_5g
241007-14:40:21.700508 <I>  wifi_hal_getHalCapability:151: interface name: wlan11, vap index: 11, vap name: lnf_radius_5g
241007-14:40:21.700653 <I>  wifi_hal_getHalCapability:151: interface name: wlan9, vap index: 9, vap name: hotspot_secure_5g
241007-14:40:21.700796 <I>  wifi_hal_getHalCapability:151: interface name: wlan7, vap index: 7, vap name: lnf_psk_5g
241007-14:40:21.700936 <I>  wifi_hal_getHalCapability:151: interface name: wlan5, vap index: 5, vap name: hotspot_open_5g
241007-14:40:21.701089 <I>  wifi_hal_getHalCapability:151: interface name: wlan3, vap index: 3, vap name: iot_ssid_5g
241007-14:40:21.701229 <I>  wifi_hal_getHalCapability:151: interface name: wlan1, vap index: 1, vap name: private_ssid_5g
241007-14:40:26.843012 <I>  update_hostap_config_params:1721:Exit
